Sector 1,Sector 2,Similarity Score
Automotive,"Education, Training & Research",65.72738775313859
"Education, Training & Research",Automotive,65.72738775313859
Management,PwD,65.7165512025441
PwD,Management,65.7165512025441
Infrastructure Equipment,Furniture & Fittings,65.71447890877637
Furniture & Fittings,Infrastructure Equipment,65.71447890877637
Management,BFSI,65.70256862156873
BFSI,Management,65.70256862156873
Automotive,Hydrocarbon,65.68859459836092
Hydrocarbon,Automotive,65.68859459836092
Sports,Hydrocarbon,65.67192289778062
Hydrocarbon,Sports,65.67192289778062
Plumbing,Food Processing,65.67000111653603
Food Processing,Plumbing,65.67000111653603
Telecom,Electronics,65.66582232386686
Electronics,Telecom,65.66582232386686
PwD,Furniture & Fittings,65.63324032771601
Furniture & Fittings,PwD,65.63324032771601
Automotive,Leather,65.62215424306788
Leather,Automotive,65.62215424306788
Hydrocarbon,Instrumentation,65.60760724048527
Instrumentation,Hydrocarbon,65.60760724048527
Iron and Steel,"Water Supply, Sewerage, Waste Management & Remediation activities",65.6010825293182
"Water Supply, Sewerage, Waste Management & Remediation activities",Iron and Steel,65.6010825293182
Leather,Green Jobs,65.5611430520655
Green Jobs,Leather,65.5611430520655
"Education, Training & Research",Iron and Steel,65.52953090123025
Iron and Steel,"Education, Training & Research",65.52953090123025
Cross Sectoral,Domestic Workers,65.51760603818626
Domestic Workers,Cross Sectoral,65.51760603818626
"Education, Training & Research",Hydrocarbon,65.47411846023132
Hydrocarbon,"Education, Training & Research",65.47411846023132
Furniture & Fittings,Handicrafts and Carpet,65.46503728654507
Handicrafts and Carpet,Furniture & Fittings,65.46503728654507
PwD,Information Technology Sector,65.46143713431056
Information Technology Sector,PwD,65.46143713431056
"Education, Training & Research",Furniture & Fittings,65.45770952185592
Furniture & Fittings,"Education, Training & Research",65.45770952185592
Furniture & Fittings,Construction,65.44971812983971
Construction,Furniture & Fittings,65.44971812983971
Domestic Workers,Information Technology Sector,65.43975216525097
Information Technology Sector,Domestic Workers,65.43975216525097
